transaction_id,amount,time_hour,location,device,gender,region,label
1,380.79,14,UK,web,Female,Urban,0
2,951.21,11,USA,web,Female,Urban,1
3,734.67,15,UK,web,Male,Rural,1
4,602.67,23,USA,mobile,Female,Rural,0
5,164.46,18,UK,mobile,Male,Rural,0
6,164.43,7,UK,web,Male,Urban,0
7,67.5,20,USA,mobile,Male,Urban,0
8,867.51,16,Germany,web,Male,Urban,1
9,605.1,22,India,mobile,Female,Rural,0
10,710.99,4,Germany,mobile,Male,Rural,1
11,30.38,21,USA,mobile,Female,Rural,1
12,970.21,15,Germany,mobile,Female,Rural,0
13,834.12,5,UK,web,Male,Urban,1
14,220.22,7,India,mobile,Female,Urban,0
15,190.01,17,USA,web,Female,Urban,0
16,191.57,11,USA,web,Male,Urban,0
17,311.2,14,USA,web,Female,Rural,0
18,529.51,8,India,mobile,Female,Rural,0
19,437.63,12,UK,web,Female,Rural,0
20,298.32,14,USA,web,Female,Urban,0
21,615.73,9,Germany,web,Male,Urban,0
22,148.1,15,USA,mobile,Female,Rural,0
23,299.22,6,USA,mobile,Female,Rural,0
24,372.7,16,USA,web,Female,Urban,0
25,461.51,22,USA,mobile,Female,Rural,0
26,787.32,20,UK,web,Male,Urban,0
27,207.68,21,Germany,web,Female,Urban,0
28,519.09,6,UK,mobile,Male,Urban,0
29,596.49,13,Germany,web,Female,Rural,1
30,55.99,14,USA,mobile,Male,Rural,0
31,611.47,20,India,mobile,Male,Urban,0
32,178.82,6,UK,web,Male,Rural,0
33,74.4,8,India,mobile,Male,Urban,0
34,949.4,18,UK,mobile,Male,Urban,0
35,965.98,15,USA,web,Female,Urban,1
36,810.31,7,UK,web,Female,Urban,0
37,311.57,17,USA,mobile,Female,Rural,0
38,106.7,22,UK,mobile,Male,Urban,0
39,687.39,17,USA,web,Female,Urban,0
40,445.75,19,USA,mobile,Male,Rural,0
41,130.82,6,Germany,mobile,Male,Urban,0
42,500.23,2,USA,mobile,Female,Urban,0
43,44.04,17,Germany,mobile,Female,Rural,0
44,910.23,9,USA,mobile,Male,Rural,0
45,266.19,6,India,mobile,Male,Rural,0
46,665.9,16,USA,mobile,Female,Urban,0
47,318.59,13,India,web,Female,Rural,0
48,524.87,23,India,web,Female,Rural,0
49,551.24,2,USA,web,Female,Urban,0
50,193.01,11,India,web,Male,Urban,1
51,969.89,12,Germany,web,Female,Urban,0
52,777.38,1,UK,mobile,Female,Urban,0
53,940.1,2,USA,mobile,Female,Urban,0
54,895.88,4,India,mobile,Male,Rural,0
55,601.92,10,USA,mobile,Male,Rural,0
56,922.66,7,Germany,web,Male,Rural,0
57,97.61,22,USA,mobile,Male,Urban,0
58,204.02,22,USA,mobile,Female,Urban,0
59,54.78,11,India,web,Male,Urban,0
60,332.08,6,Germany,mobile,Female,Rural,0
61,394.79,14,UK,mobile,Female,Rural,0
62,278.64,23,UK,web,Female,Urban,0
63,830.45,16,India,mobile,Female,Rural,1
64,363.19,3,USA,mobile,Male,Urban,0
65,288.13,21,India,mobile,Male,Rural,0
66,547.27,12,India,mobile,Male,Rural,1
67,149.51,17,India,mobile,Female,Rural,1
68,804.18,0,USA,web,Female,Urban,1
69,83.81,15,Germany,web,Female,Rural,0
70,987.02,12,India,web,Female,Rural,1
71,774.52,9,USA,web,Female,Urban,0
72,206.73,11,Germany,web,Male,Rural,0
73,15.47,1,India,web,Female,Urban,0
74,817.31,22,UK,mobile,Male,Urban,0
75,709.79,2,Germany,web,Female,Urban,0
76,731.72,9,India,web,Female,Urban,0
77,773.56,1,Germany,mobile,Male,Urban,0
78,83.3,22,Germany,mobile,Male,Rural,0
79,364.88,12,Germany,web,Female,Urban,0
80,124.71,12,Germany,mobile,Female,Urban,0
